Table Name (1),State Code (2),Distt.Code (3),Area Name  (4),Total/Rural/Urban (5),Age-group (6),In seeing Persons Males (11),In Hearing Persons Males (14),In Hearing Persons Females (15),In Speech Males (17),In Speech Females (18),In Movement Males (20),In Movement  Females (21)
C4920,28,15,District-West Godavari,Rural,5-9,152,124,127,260,218,341,217
C4920,28,15,District-West Godavari,Rural,10-19,432,406,362,591,518,1302,889
C4920,28,15,District-West Godavari,Rural,20-29,462,432,427,483,496,2919,1979
C4920,28,15,District-West Godavari,Rural,30-39,419,367,444,412,361,2269,1349
C4920,28,15,District-West Godavari,Rural,40-49,558,395,469,361,267,1954,1067
C4920,28,15,District-West Godavari,Rural,50-59,503,352,429,178,147,1549,944
C4920,28,15,District-West Godavari,Rural,60-69,933,540,720,158,158,1808,1285
C4920,28,15,District-West Godavari,Rural,70-79,753,416,451,67,67,1042,614
C4920,28,15,District-West Godavari,Rural,80-89,202,133,198,15,10,228,258
C4920,28,15,District-West Godavari,Rural,90+,39,29,38,3,4,43,46
C4920,28,15,District-West Godavari,Rural,Age Not Stated,1,4,1,0,1,1,3
C4920,28,15,District-West Godavari,Urban,0-4,14,21,12,3,3,27,28
C4920,28,15,District-West Godavari,Urban,5-9,31,36,38,69,45,72,43
C4920,28,15,District-West Godavari,Urban,10-19,113,82,90,118,119,281,203
C4920,28,15,District-West Godavari,Urban,20-29,110,94,116,117,124,648,478
C4920,28,15,District-West Godavari,Urban,30-39,108,113,82,111,76,540,347
C4920,28,15,District-West Godavari,Urban,40-49,150,111,87,75,60,552,308
C4920,28,15,District-West Godavari,Urban,50-59,100,82,86,49,37,452,239
C4920,28,15,District-West Godavari,Urban,60-69,119,80,127,26,23,433,254
C4920,28,15,District-West Godavari,Urban,70-79,81,58,72,12,7,206,124
C4920,28,15,District-West Godavari,Urban,80-89,21,23,23,3,5,31,43
C4920,28,15,District-West Godavari,Urban,90+,4,5,7,0,1,11,11
C4920,28,15,District-West Godavari,Urban,Age Not Stated,2,0,0,0,1,1,0
C4920,28,16,District-Krishna,Rural,0-4,106,112,122,50,59,191,109
C4920,28,16,District-Krishna,Rural,5-9,150,203,204,482,372,316,251
C4920,28,16,District-Krishna,Rural,10-19,458,610,539,1029,860,952,697
C4920,28,16,District-Krishna,Rural,20-29,551,560,636,1123,1022,2033,1464
C4920,28,16,District-Krishna,Rural,30-39,495,586,594,1112,889,1873,1137
C4920,28,16,District-Krishna,Rural,40-49,597,598,589,1066,781,1844,1046
C4920,28,16,District-Krishna,Rural,50-59,558,474,532,660,534,1511,948
C4920,28,16,District-Krishna,Rural,60-69,894,653,736,559,471,1718,1188
C4920,28,16,District-Krishna,Rural,70-79,618,442,451,248,200,910,554
C4920,28,16,District-Krishna,Rural,80-89,186,167,166,58,54,197,198
C4920,28,16,District-Krishna,Rural,90+,37,33,43,14,11,44,53
C4920,28,16,District-Krishna,Rural,Age Not Stated,49,39,38,53,50,85,69
C4920,28,16,District-Krishna,Urban,0-4,138,146,168,49,24,78,69
C4920,28,16,District-Krishna,Urban,5-9,166,199,187,265,215,124,118
C4920,28,16,District-Krishna,Urban,10-19,516,645,688,799,612,495,367
C4920,28,16,District-Krishna,Urban,20-29,477,646,610,883,850,1094,829
C4920,28,16,District-Krishna,Urban,30-39,462,646,498,941,725,980,648
C4920,28,16,District-Krishna,Urban,40-49,501,522,446,813,533,962,503
C4920,28,16,District-Krishna,Urban,50-59,412,435,365,509,378,812,410
C4920,28,16,District-Krishna,Urban,60-69,356,346,362,336,248,641,430
C4920,28,16,District-Krishna,Urban,70-79,200,180,198,131,105,301,185
C4920,28,16,District-Krishna,Urban,80-89,48,51,75,29,29,77,84
C4920,28,16,District-Krishna,Urban,90+,13,8,16,16,18,6,18
C4920,28,16,District-Krishna,Urban,Age Not Stated,71,59,53,59,43,65,55
C4920,28,17,District-Guntur,Rural,0-4,81,104,84,41,28,135,107
C4920,28,17,District-Guntur,Rural,5-9,179,181,178,339,256,333,224
C4920,28,17,District-Guntur,Rural,10-19,503,545,407,772,601,1054,743
C4920,28,17,District-Guntur,Rural,20-29,471,481,456,561,464,2146,1552
C4920,28,17,District-Guntur,Rural,30-39,470,428,474,373,363,1768,1134
