Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,21,District-Khagaria,Urban,0-4,8,6,13,1,0,5,3,3,1
C4920,10,21,District-Khagaria,Urban,5-9,10,12,14,10,3,19,6,6,3
C4920,10,21,District-Khagaria,Urban,10-19,21,18,25,15,6,39,26,15,16
C4920,10,21,District-Khagaria,Urban,20-29,18,17,15,7,5,48,15,19,4
C4920,10,21,District-Khagaria,Urban,30-39,18,16,14,6,3,21,8,7,7
C4920,10,21,District-Khagaria,Urban,40-49,19,12,11,6,4,21,4,8,4
C4920,10,21,District-Khagaria,Urban,50-59,18,9,8,5,2,15,11,4,2
C4920,10,21,District-Khagaria,Urban,60-69,11,12,8,2,4,16,7,3,1
C4920,10,21,District-Khagaria,Urban,70-79,6,6,3,3,1,7,4,0,0
C4920,10,21,District-Khagaria,Urban,80-89,2,0,1,1,0,2,0,0,1
C4920,10,21,District-Khagaria,Urban,90+,1,0,2,0,0,0,1,1,0
C4920,10,21,District-Khagaria,Urban,Age Not Stated,0,0,1,0,0,0,0,0,0
C4920,10,22,District-Bhagalpur,Rural,0-4,545,803,743,41,45,177,122,37,38
C4920,10,22,District-Bhagalpur,Rural,5-9,738,1012,942,278,248,287,190,127,85
C4920,10,22,District-Bhagalpur,Rural,10-19,1269,1799,1381,541,370,1392,722,346,229
C4920,10,22,District-Bhagalpur,Rural,20-29,881,1303,980,376,250,1057,398,284,117
C4920,10,22,District-Bhagalpur,Rural,30-39,800,1175,880,302,203,768,301,248,106
C4920,10,22,District-Bhagalpur,Rural,40-49,664,938,641,231,124,560,163,197,71
C4920,10,22,District-Bhagalpur,Rural,50-59,432,596,465,132,98,511,207,86,46
C4920,10,22,District-Bhagalpur,Rural,60-69,472,585,446,106,82,555,239,52,36
C4920,10,22,District-Bhagalpur,Rural,70-79,195,254,154,43,42,280,118,17,16
C4920,10,22,District-Bhagalpur,Rural,80-89,50,74,47,10,7,87,55,5,7
C4920,10,22,District-Bhagalpur,Rural,90+,20,36,20,3,1,32,17,3,2
C4920,10,22,District-Bhagalpur,Rural,Age Not Stated,21,68,44,9,5,12,6,4,1
C4920,10,22,District-Bhagalpur,Urban,0-4,151,124,115,9,7,57,50,12,8
C4920,10,22,District-Bhagalpur,Urban,5-9,238,155,129,55,45,99,67,25,18
C4920,10,22,District-Bhagalpur,Urban,10-19,464,319,310,133,116,312,269,105,64
C4920,10,22,District-Bhagalpur,Urban,20-29,386,213,200,98,77,348,161,101,68
C4920,10,22,District-Bhagalpur,Urban,30-39,289,211,180,77,60,201,97,81,46
C4920,10,22,District-Bhagalpur,Urban,40-49,245,199,143,63,45,169,62,69,34
C4920,10,22,District-Bhagalpur,Urban,50-59,151,131,98,37,30,102,84,29,11
C4920,10,22,District-Bhagalpur,Urban,60-69,182,117,87,41,25,148,86,14,9
C4920,10,22,District-Bhagalpur,Urban,70-79,73,51,46,14,1,61,43,12,8
C4920,10,22,District-Bhagalpur,Urban,80-89,17,21,12,5,0,21,18,2,1
C4920,10,22,District-Bhagalpur,Urban,90+,9,3,8,0,1,7,11,0,0
C4920,10,22,District-Bhagalpur,Urban,Age Not Stated,14,13,14,2,5,3,0,0,1
C4920,10,23,District-Banka,Rural,0-4,664,609,583,38,42,121,105,51,51
C4920,10,23,District-Banka,Rural,5-9,862,705,659,277,223,269,184,122,110
C4920,10,23,District-Banka,Rural,10-19,1370,1270,966,472,324,928,511,351,193
C4920,10,23,District-Banka,Rural,20-29,968,891,805,318,215,761,323,237,141
C4920,10,23,District-Banka,Rural,30-39,892,829,678,298,180,618,256,248,115
C4920,10,23,District-Banka,Rural,40-49,805,665,564,203,147,520,189,198,98
C4920,10,23,District-Banka,Rural,50-59,588,513,430,135,89,442,212,110,59
C4920,10,23,District-Banka,Rural,60-69,681,520,464,113,84,578,321,61,41
C4920,10,23,District-Banka,Rural,70-79,354,287,234,48,26,311,243,25,25
C4920,10,23,District-Banka,Rural,80-89,102,87,66,15,11,92,79,8,6
C4920,10,23,District-Banka,Rural,90+,30,25,24,5,2,36,21,2,2
C4920,10,23,District-Banka,Rural,Age Not Stated,4,5,7,2,0,2,2,4,1
C4920,10,23,District-Banka,Urban,0-4,17,10,16,1,0,8,4,4,0
C4920,10,23,District-Banka,Urban,5-9,15,15,9,4,6,11,6,2,1
C4920,10,23,District-Banka,Urban,10-19,44,28,27,17,9,34,29,13,8
C4920,10,23,District-Banka,Urban,20-29,38,13,11,10,7,34,17,7,5
C4920,10,23,District-Banka,Urban,30-39,21,9,10,8,3,15,5,21,4
C4920,10,23,District-Banka,Urban,40-49,28,17,8,5,4,16,5,11,4
C4920,10,23,District-Banka,Urban,50-59,21,10,9,2,3,14,5,3,2
C4920,10,23,District-Banka,Urban,60-69,10,12,8,3,2,12,5,1,0
C4920,10,23,District-Banka,Urban,70-79,6,3,5,2,0,6,2,1,1
C4920,10,23,District-Banka,Urban,80-89,1,1,1,1,0,0,1,0,0
C4920,10,23,District-Banka,Urban,90+,1,1,2,0,1,1,0,0,0
C4920,10,23,District-Banka,Urban,Age Not Stated,0,0,0,1,0,0,0,1,0
C4920,10,24,District-Munger,Rural,0-4,82,118,109,13,13,68,48,17,21
C4920,10,24,District-Munger,Rural,5-9,92,208,149,96,75,130,76,56,35
C4920,10,24,District-Munger,Rural,10-19,219,359,272,183,104,600,298,161,91
C4920,10,24,District-Munger,Rural,20-29,141,248,194,125,92,539,209,140,58
C4920,10,24,District-Munger,Rural,30-39,178,235,188,95,64,353,136,110,50
C4920,10,24,District-Munger,Rural,40-49,176,207,123,67,46,256,103,107,38
C4920,10,24,District-Munger,Rural,50-59,123,120,115,32,27,217,87,43,24
C4920,10,24,District-Munger,Rural,60-69,155,139,135,50,34,254,119,27,16
C4920,10,24,District-Munger,Rural,70-79,86,88,70,20,11,140,62,11,8
C4920,10,24,District-Munger,Rural,80-89,28,28,20,8,4,25,19,1,2
C4920,10,24,District-Munger,Rural,90+,9,10,10,4,0,10,10,0,0
C4920,10,24,District-Munger,Rural,Age Not Stated,0,3,2,0,2,1,0,1,0
C4920,10,24,District-Munger,Urban,0-4,12,84,58,2,4,25,14,4,4
C4920,10,24,District-Munger,Urban,5-9,26,84,86,30,26,45,29,16,7
C4920,10,24,District-Munger,Urban,10-19,54,178,146,62,54,209,118,70,28
C4920,10,24,District-Munger,Urban,20-29,53,142,106,60,33,214,105,76,29
C4920,10,24,District-Munger,Urban,30-39,33,92,86,37,18,151,67,74,33
C4920,10,24,District-Munger,Urban,40-49,52,89,74,24,14,105,36,44,20
C4920,10,24,District-Munger,Urban,50-59,31,80,60,14,15,105,45,25,16
C4920,10,24,District-Munger,Urban,60-69,54,61,53,19,9,89,46,14,8
C4920,10,24,District-Munger,Urban,70-79,23,29,19,6,6,57,30,1,2
C4920,10,24,District-Munger,Urban,80-89,9,6,14,0,3,11,10,2,0
C4920,10,24,District-Munger,Urban,90+,1,1,1,0,1,3,4,0,0
C4920,10,24,District-Munger,Urban,Age Not Stated,2,6,1,2,1,3,1,1,0
C4920,10,25,District-Lakhisarai,Rural,0-4,63,105,134,16,14,65,53,14,24
C4920,10,25,District-Lakhisarai,Rural,5-9,86,121,122,86,57,134,93,51,30
C4920,10,25,District-Lakhisarai,Rural,10-19,136,263,257,173,109,567,317,152,92
C4920,10,25,District-Lakhisarai,Rural,20-29,100,161,173,112,62,457,166,91,52
C4920,10,25,District-Lakhisarai,Rural,30-39,105,167,136,74,56,319,107,86,51
C4920,10,25,District-Lakhisarai,Rural,40-49,131,103,95,48,41,218,99,90,39
C4920,10,25,District-Lakhisarai,Rural,50-59,103,109,107,30,24,198,72,24,24
C4920,10,25,District-Lakhisarai,Rural,60-69,170,106,120,28,25,243,121,23,19
C4920,10,25,District-Lakhisarai,Rural,70-79,93,77,56,11,8,114,53,6,4
C4920,10,25,District-Lakhisarai,Rural,80-89,30,24,12,2,1,39,12,0,4
C4920,10,25,District-Lakhisarai,Rural,90+,4,10,5,1,1,6,3,1,2
C4920,10,25,District-Lakhisarai,Rural,Age Not Stated,1,2,3,0,0,3,0,0,0
C4920,10,25,District-Lakhisarai,Urban,0-4,11,16,13,2,2,8,8,3,3
C4920,10,25,District-Lakhisarai,Urban,5-9,13,10,13,12,8,17,12,10,6
C4920,10,25,District-Lakhisarai,Urban,10-19,21,45,25,15,13,71,37,21,13
C4920,10,25,District-Lakhisarai,Urban,20-29,18,21,11,9,9,60,40,14,12
C4920,10,25,District-Lakhisarai,Urban,30-39,15,29,15,12,8,63,27,20,3
C4920,10,25,District-Lakhisarai,Urban,40-49,19,25,19,10,11,33,6,21,4
C4920,10,25,District-Lakhisarai,Urban,50-59,22,17,15,5,2,31,9,7,4
C4920,10,25,District-Lakhisarai,Urban,60-69,27,14,13,7,2,22,27,6,2
C4920,10,25,District-Lakhisarai,Urban,70-79,16,10,7,0,0,21,10,1,0
C4920,10,25,District-Lakhisarai,Urban,80-89,2,6,5,0,1,6,2,0,0
C4920,10,25,District-Lakhisarai,Urban,90+,2,0,1,0,0,1,0,0,0
C4920,10,25,District-Lakhisarai,Urban,Age Not Stated,0,1,0,0,0,0,0,0,0
C4920,10,26,District-Sheikhpura,Rural,0-4,46,198,178,14,13,37,40,21,7
C4920,10,26,District-Sheikhpura,Rural,5-9,49,244,258,88,44,87,66,42,24
C4920,10,26,District-Sheikhpura,Rural,10-19,124,382,316,128,103,347,225,117,70
C4920,10,26,District-Sheikhpura,Rural,20-29,78,221,225,81,58,257,124,69,45
C4920,10,26,District-Sheikhpura,Rural,30-39,87,199,198,52,44,147,67,81,36
C4920,10,26,District-Sheikhpura,Rural,40-49,84,155,147,42,29,137,60,41,29
C4920,10,26,District-Sheikhpura,Rural,50-59,80,140,125,28,14,143,64,24,23
C4920,10,26,District-Sheikhpura,Rural,60-69,100,144,128,22,25,172,73,27,11
C4920,10,26,District-Sheikhpura,Rural,70-79,55,78,52,12,5,87,37,8,5
C4920,10,26,District-Sheikhpura,Rural,80-89,17,17,24,0,1,22,14,2,1
C4920,10,26,District-Sheikhpura,Rural,90+,3,10,10,3,0,8,3,1,2
C4920,10,26,District-Sheikhpura,Rural,Age Not Stated,0,2,2,2,0,0,0,0,0
C4920,10,26,District-Sheikhpura,Urban,0-4,7,22,18,2,2,10,3,2,2
C4920,10,26,District-Sheikhpura,Urban,5-9,12,25,18,7,9,16,5,7,2
C4920,10,26,District-Sheikhpura,Urban,10-19,26,40,27,19,19,68,43,28,17
C4920,10,26,District-Sheikhpura,Urban,20-29,13,29,25,13,11,43,32,20,4
C4920,10,26,District-Sheikhpura,Urban,30-39,20,34,16,8,7,34,11,11,2
C4920,10,26,District-Sheikhpura,Urban,40-49,13,12,10,10,4,15,10,7,3
C4920,10,26,District-Sheikhpura,Urban,50-59,11,12,14,5,3,21,9,8,7
C4920,10,26,District-Sheikhpura,Urban,60-69,15,19,10,5,4,19,13,3,2
C4920,10,26,District-Sheikhpura,Urban,70-79,6,4,5,1,1,7,5,0,0
C4920,10,26,District-Sheikhpura,Urban,80-89,2,2,1,0,0,6,2,0,1
C4920,10,26,District-Sheikhpura,Urban,90+,1,2,0,0,0,1,0,0,0
C4920,10,26,District-Sheikhpura,Urban,Age Not Stated,0,0,0,1,0,0,0,0,0
C4920,10,27,District-Nalanda,Rural,0-4,377,437,447,41,40,204,139,66,44
C4920,10,27,District-Nalanda,Rural,5-9,507,650,618,307,229,417,269,188,127
C4920,10,27,District-Nalanda,Rural,10-19,896,1104,947,570,378,1950,1166,500,328
C4920,10,27,District-Nalanda,Rural,20-29,589,783,656,366,246,1660,797,389,191
C4920,10,27,District-Nalanda,Rural,30-39,614,740,633,244,183,1078,480,369,204
C4920,10,27,District-Nalanda,Rural,40-49,538,581,455,208,170,753,291,266,116
C4920,10,27,District-Nalanda,Rural,50-59,473,416,406,145,112,648,297,160,92
C4920,10,27,District-Nalanda,Rural,60-69,634,547,418,123,96,852,457,101,76
C4920,10,27,District-Nalanda,Rural,70-79,330,275,234,59,42,517,261,43,20
C4920,10,27,District-Nalanda,Rural,80-89,93,74,77,12,16,117,87,12,8
C4920,10,27,District-Nalanda,Rural,90+,18,33,17,6,4,40,23,4,0
C4920,10,27,District-Nalanda,Rural,Age Not Stated,13,12,12,1,3,4,6,2,1
C4920,10,27,District-Nalanda,Urban,0-4,63,76,76,12,6,35,20,10,7
C4920,10,27,District-Nalanda,Urban,5-9,77,96,89,41,41,46,38,24,18
C4920,10,27,District-Nalanda,Urban,10-19,143,174,183,88,64,276,190,84,56
C4920,10,27,District-Nalanda,Urban,20-29,91,129,117,47,53,244,148,78,38
C4920,10,27,District-Nalanda,Urban,30-39,97,146,101,57,39,137,82,71,36
C4920,10,27,District-Nalanda,Urban,40-49,84,97,75,39,22,103,47,44,24
C4920,10,27,District-Nalanda,Urban,50-59,80,81,66,13,17,99,37,16,14
C4920,10,27,District-Nalanda,Urban,60-69,113,83,83,16,11,112,68,17,9
C4920,10,27,District-Nalanda,Urban,70-79,44,58,48,8,3,77,26,6,6
C4920,10,27,District-Nalanda,Urban,80-89,13,14,10,2,1,16,13,2,2
