Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,9,13,District-Mahamaya Nagar,Rural,60-69,244,157,150,23,20,209,153,33,25
C4920,9,13,District-Mahamaya Nagar,Rural,70-79,192,124,112,22,20,146,123,18,19
C4920,9,13,District-Mahamaya Nagar,Rural,80-89,90,53,48,6,8,65,65,5,5
C4920,9,13,District-Mahamaya Nagar,Rural,90+,24,21,14,2,1,21,18,1,1
C4920,9,13,District-Mahamaya Nagar,Rural,Age Not Stated,6,1,1,0,2,1,2,0,1
C4920,9,13,District-Mahamaya Nagar,Urban,0-4,67,78,68,1,3,9,6,10,5
C4920,9,13,District-Mahamaya Nagar,Urban,5-9,75,89,85,18,13,18,14,16,9
C4920,9,13,District-Mahamaya Nagar,Urban,10-19,183,221,186,47,30,119,63,61,45
C4920,9,13,District-Mahamaya Nagar,Urban,20-29,111,159,112,32,21,191,69,56,16
C4920,9,13,District-Mahamaya Nagar,Urban,30-39,93,101,110,27,17,100,44,35,17
C4920,9,13,District-Mahamaya Nagar,Urban,40-49,72,98,72,22,16,73,29,34,20
C4920,9,13,District-Mahamaya Nagar,Urban,50-59,63,69,47,28,15,41,27,18,6
C4920,9,13,District-Mahamaya Nagar,Urban,60-69,58,62,57,7,4,29,36,6,5
C4920,9,13,District-Mahamaya Nagar,Urban,70-79,26,28,30,7,6,23,22,1,2
C4920,9,13,District-Mahamaya Nagar,Urban,80-89,9,8,11,1,0,12,11,2,2
C4920,9,13,District-Mahamaya Nagar,Urban,90+,3,1,3,0,0,2,9,0,0
C4920,9,13,District-Mahamaya Nagar,Urban,Age Not Stated,17,5,2,1,0,1,0,1,2
C4920,9,14,District-Mathura,Rural,0-4,160,441,415,24,8,105,83,54,34
C4920,9,14,District-Mathura,Rural,5-9,236,609,467,137,105,230,144,115,64
C4920,9,14,District-Mathura,Rural,10-19,528,1178,913,323,180,1129,504,410,200
C4920,9,14,District-Mathura,Rural,20-29,301,780,589,172,97,1278,414,251,113
C4920,9,14,District-Mathura,Rural,30-39,241,637,447,102,58,726,319,191,85
C4920,9,14,District-Mathura,Rural,40-49,253,472,357,74,56,450,191,143,56
C4920,9,14,District-Mathura,Rural,50-59,255,320,296,60,25,345,163,65,35
C4920,9,14,District-Mathura,Rural,60-69,330,330,328,36,39,332,227,39,34
C4920,9,14,District-Mathura,Rural,70-79,268,218,211,17,18,185,167,20,19
