Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,6,11,District-Sirsa,Urban,10-19,78,146,146,43,36,102,59,75,49
C4920,6,11,District-Sirsa,Urban,20-29,60,211,157,33,21,200,117,96,50
C4920,6,11,District-Sirsa,Urban,30-39,57,119,81,20,21,170,118,80,31
C4920,6,11,District-Sirsa,Urban,40-49,38,95,92,17,19,118,68,71,33
C4920,6,11,District-Sirsa,Urban,50-59,60,84,79,22,14,105,75,38,19
C4920,6,11,District-Sirsa,Urban,60-69,83,97,92,16,8,116,77,27,15
C4920,6,11,District-Sirsa,Urban,70-79,29,59,47,3,6,59,71,7,6
C4920,6,11,District-Sirsa,Urban,80-89,9,33,36,2,3,20,22,3,1
C4920,6,11,District-Sirsa,Urban,90+,5,8,11,1,1,11,11,1,2
C4920,6,11,District-Sirsa,Urban,Age Not Stated,0,6,3,0,0,1,1,1,0
C4920,6,12,District-Hisar,Rural,0-4,89,188,204,16,3,60,34,29,19
C4920,6,12,District-Hisar,Rural,5-9,129,186,198,78,53,112,76,95,49
C4920,6,12,District-Hisar,Rural,10-19,327,556,531,183,106,404,203,342,216
C4920,6,12,District-Hisar,Rural,20-29,292,440,393,141,58,755,284,328,133
C4920,6,12,District-Hisar,Rural,30-39,237,384,333,75,56,714,339,246,116
C4920,6,12,District-Hisar,Rural,40-49,265,367,303,68,47,491,196,198,105
C4920,6,12,District-Hisar,Rural,50-59,255,262,205,60,38,352,189,101,63
C4920,6,12,District-Hisar,Rural,60-69,357,279,302,60,24,345,230,54,57
C4920,6,12,District-Hisar,Rural,70-79,234,176,212,23,15,152,160,15,16
C4920,6,12,District-Hisar,Rural,80-89,128,100,116,7,7,79,92,12,6
C4920,6,12,District-Hisar,Rural,90+,30,31,43,0,0,21,21,2,2
C4920,6,12,District-Hisar,Rural,Age Not Stated,5,6,7,0,3,8,3,1,2
C4920,6,12,District-Hisar,Urban,0-4,54,108,102,9,5,18,10,6,11
C4920,6,12,District-Hisar,Urban,5-9,54,125,106,40,23,25,14,39,28
C4920,6,12,District-Hisar,Urban,10-19,156,332,214,83,63,116,65,137,77
C4920,6,12,District-Hisar,Urban,20-29,134,331,251,63,47,225,149,150,74
C4920,6,12,District-Hisar,Urban,30-39,93,253,208,45,38,225,132,115,57
C4920,6,12,District-Hisar,Urban,40-49,110,219,191,46,25,179,100,93,46
C4920,6,12,District-Hisar,Urban,50-59,91,144,123,31,27,147,75,49,25
C4920,6,12,District-Hisar,Urban,60-69,89,107,133,21,13,135,111,38,14
C4920,6,12,District-Hisar,Urban,70-79,57,54,68,12,8,67,64,12,8
C4920,6,12,District-Hisar,Urban,80-89,28,35,33,2,5,22,46,4,4
C4920,6,12,District-Hisar,Urban,90+,6,11,17,2,2,4,5,1,1
C4920,6,12,District-Hisar,Urban,Age Not Stated,4,4,0,2,0,3,1,0,1
C4920,6,13,District-Bhiwani,Rural,0-4,92,111,107,14,20,58,39,29,18
C4920,6,13,District-Bhiwani,Rural,5-9,95,142,147,104,60,129,81,129,68
C4920,6,13,District-Bhiwani,Rural,10-19,274,370,289,202,135,422,226,405,198
C4920,6,13,District-Bhiwani,Rural,20-29,219,299,226,144,65,788,303,334,105
C4920,6,13,District-Bhiwani,Rural,30-39,216,257,208,101,68,772,247,324,133
C4920,6,13,District-Bhiwani,Rural,40-49,195,249,197,89,53,526,178,176,89
C4920,6,13,District-Bhiwani,Rural,50-59,200,174,172,38,34,378,171,121,70
C4920,6,13,District-Bhiwani,Rural,60-69,316,209,248,49,38,336,213,71,55
C4920,6,13,District-Bhiwani,Rural,70-79,253,187,178,15,13,176,135,19,28
C4920,6,13,District-Bhiwani,Rural,80-89,137,117,130,7,8,108,96,10,5
C4920,6,13,District-Bhiwani,Rural,90+,26,24,35,3,3,26,34,3,1
C4920,6,13,District-Bhiwani,Rural,Age Not Stated,1,5,6,1,2,4,1,1,2
C4920,6,13,District-Bhiwani,Urban,0-4,30,95,85,2,1,8,8,7,5
C4920,6,13,District-Bhiwani,Urban,5-9,31,100,92,20,5,24,22,21,13
C4920,6,13,District-Bhiwani,Urban,10-19,73,207,156,43,20,79,31,95,58
C4920,6,13,District-Bhiwani,Urban,20-29,55,192,186,28,22,154,63,93,29
C4920,6,13,District-Bhiwani,Urban,30-39,52,167,156,31,26,145,57,65,31
C4920,6,13,District-Bhiwani,Urban,40-49,71,101,100,18,13,116,54,53,17
C4920,6,13,District-Bhiwani,Urban,50-59,52,85,91,21,10,100,45,26,17
C4920,6,13,District-Bhiwani,Urban,60-69,64,75,66,12,11,79,56,10,16
C4920,6,13,District-Bhiwani,Urban,70-79,32,34,45,12,3,35,30,4,6
C4920,6,13,District-Bhiwani,Urban,80-89,20,24,28,0,0,14,21,0,1
C4920,6,13,District-Bhiwani,Urban,90+,1,3,4,0,1,4,7,0,1
C4920,6,13,District-Bhiwani,Urban,Age Not Stated,0,6,0,0,0,3,1,0,0
C4920,6,14,District-Rohtak,Rural,0-4,32,60,56,4,4,22,15,11,13
C4920,6,14,District-Rohtak,Rural,5-9,37,91,64,53,27,48,22,53,23
C4920,6,14,District-Rohtak,Rural,10-19,123,197,152,91,39,183,97,191,119
C4920,6,14,District-Rohtak,Rural,20-29,104,189,128,58,32,387,179,165,59
C4920,6,14,District-Rohtak,Rural,30-39,100,157,125,49,31,351,164,129,77
C4920,6,14,District-Rohtak,Rural,40-49,111,148,110,34,15,291,125,96,28
C4920,6,14,District-Rohtak,Rural,50-59,152,138,113,26,12,235,134,55,38
C4920,6,14,District-Rohtak,Rural,60-69,231,186,142,23,16,244,221,39,33
C4920,6,14,District-Rohtak,Rural,70-79,208,134,170,15,10,154,163,13,13
C4920,6,14,District-Rohtak,Rural,80-89,111,102,85,7,6,65,76,7,8
C4920,6,14,District-Rohtak,Rural,90+,23,33,46,0,1,22,26,1,3
C4920,6,14,District-Rohtak,Rural,Age Not Stated,2,2,1,0,0,0,0,3,0
C4920,6,14,District-Rohtak,Urban,0-4,19,53,40,1,4,11,7,7,6
