Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,8,District-Baramula,Urban,30-39,31,153,64,25,10,53,27,53,24
C4920,1,8,District-Baramula,Urban,40-49,31,123,65,10,10,38,27,43,22
C4920,1,8,District-Baramula,Urban,50-59,27,52,34,10,7,32,23,15,15
C4920,1,8,District-Baramula,Urban,60-69,25,51,39,5,6,35,22,16,5
C4920,1,8,District-Baramula,Urban,70-79,23,32,37,4,4,32,11,6,6
C4920,1,8,District-Baramula,Urban,80-89,11,14,12,0,1,11,9,1,3
C4920,1,8,District-Baramula,Urban,90+,8,5,3,0,0,2,0,0,0
C4920,1,8,District-Baramula,Urban,Age Not Stated,0,3,1,1,1,0,1,0,0
C4920,1,9,District-Bandipore,Rural,0-4,67,135,127,11,4,45,23,4,10
C4920,1,9,District-Bandipore,Rural,5-9,109,137,120,48,28,74,69,32,25
C4920,1,9,District-Bandipore,Rural,10-19,238,287,248,82,61,184,141,135,77
C4920,1,9,District-Bandipore,Rural,20-29,126,166,140,50,28,151,136,117,90
C4920,1,9,District-Bandipore,Rural,30-39,127,137,117,32,25,126,85,127,83
C4920,1,9,District-Bandipore,Rural,40-49,97,111,81,27,19,122,85,103,88
C4920,1,9,District-Bandipore,Rural,50-59,89,99,83,15,14,102,77,76,61
C4920,1,9,District-Bandipore,Rural,60-69,115,108,108,14,9,133,90,53,41
C4920,1,9,District-Bandipore,Rural,70-79,88,111,87,2,7,126,73,24,8
C4920,1,9,District-Bandipore,Rural,80-89,57,69,29,1,1,29,30,5,5
C4920,1,9,District-Bandipore,Rural,90+,19,23,11,0,0,24,10,3,1
C4920,1,9,District-Bandipore,Rural,Age Not Stated,0,4,2,0,1,1,0,0,0
C4920,1,9,District-Bandipore,Urban,0-4,5,6,4,1,1,7,4,5,1
C4920,1,9,District-Bandipore,Urban,5-9,17,16,11,9,6,10,5,10,10
C4920,1,9,District-Bandipore,Urban,10-19,45,32,36,17,11,39,24,18,18
C4920,1,9,District-Bandipore,Urban,20-29,20,23,21,10,11,32,25,25,18
C4920,1,9,District-Bandipore,Urban,30-39,29,25,19,9,5,35,20,29,22
C4920,1,9,District-Bandipore,Urban,40-49,22,27,24,10,5,25,21,17,11
C4920,1,9,District-Bandipore,Urban,50-59,18,24,27,3,2,23,14,12,8
C4920,1,9,District-Bandipore,Urban,60-69,34,29,26,7,5,17,23,15,8
C4920,1,9,District-Bandipore,Urban,70-79,36,28,22,0,0,26,16,4,1
C4920,1,9,District-Bandipore,Urban,80-89,20,4,12,0,0,8,3,2,4
C4920,1,9,District-Bandipore,Urban,90+,4,2,1,0,1,0,2,0,0
